dataset,model_cls,one_hot_encoding,test_score
bank,HCLT w. hidden vars: 141,False,0.9071070480684164
bank,KNeighborsClassifier,False,0.8905927455028015
bank,KNeighborsClassifier,True,0.892214685933353
bank,LogisticRegression,False,0.8827779416101444
bank,LogisticRegression,True,0.9001769389560602
bank,RSPN depth 1,False,0.9020937776467118
bank,RSPN depth 10,False,0.8920672368033029
bank,RSPN depth 5,False,0.8920672368033029
bank,RandomForestClassifier,False,0.9041580654674137
bank,RandomForestClassifier,True,0.9023886759068122
bank,pc linear depth 10,False,0.8815983485697434
bank,pc linear depth 2,False,0.8815983485697434
bank,pc linear depth 5,False,0.8815983485697434
secondary-mushrooms,DecisionTreeClassifier,True,0.9991267328894226
secondary-mushrooms,DecisionTreeClassifier,True,0.9991267328894226
secondary-mushrooms,HCLT w. hidden vars: 13,False,0.8546010260888549
secondary-mushrooms,HCLT w. hidden vars: 141,False,0.9624495142451698
secondary-mushrooms,KNeighborsClassifier,True,1.0
secondary-mushrooms,KNeighborsClassifier,True,1.0
secondary-mushrooms,LogisticRegression,True,0.8729396354109813
secondary-mushrooms,LogisticRegression,True,0.8729396354109813
secondary-mushrooms,RSPN depth 1,False,0.8812356729614671
secondary-mushrooms,RSPN depth 10,False,0.9727104027944548
secondary-mushrooms,RSPN depth 5,False,0.9727104027944548
secondary-mushrooms,RandomForestClassifier,True,1.0
secondary-mushrooms,RandomForestClassifier,True,1.0
secondary-mushrooms,pc linear depth 10,False,0.6443619692173344
secondary-mushrooms,pc linear depth 2,False,0.6059382163519267
secondary-mushrooms,pc linear depth 5,False,0.6135793035694793
vote,DecisionTreeClassifier,False,0.9393939393939394
vote,DecisionTreeClassifier,True,0.9393939393939394
vote,HCLT w. hidden vars: 13,False,0.9393939393939394
vote,HCLT w. hidden vars: 141,False,0.9090909090909091
vote,KNeighborsClassifier,False,0.8939393939393939
vote,KNeighborsClassifier,True,0.8787878787878788
vote,LogisticRegression,False,0.9393939393939394
vote,LogisticRegression,True,0.9242424242424242
vote,RSPN depth 1,False,0.8636363636363636
vote,RSPN depth 10,False,0.9545454545454546
vote,RSPN depth 5,False,0.9545454545454546
vote,RandomForestClassifier,False,0.9242424242424242
vote,RandomForestClassifier,True,0.9242424242424242
vote,pc linear depth 10,False,0.9090909090909091
vote,pc linear depth 2,False,0.9242424242424242
vote,pc linear depth 5,False,0.9242424242424242
